000Introduction.pdf,Introduction,Introduction to AlQuran - Revelation - Translation - Explanation
001AlFatiha.pdf,AlFatiha,Opening Chapter - Praising God in Daily Prayers
002AlBaqarah.pdf,AlBaqarah,Rules for a Civil Society - Marriage/Divorce - Crimes/Punishments - Rituals
003AalImran.pdf,AalImran,Muslim Belief and Description about Previous Prophets - Abraham/Jesus/John
004AnNisa.pdf,AnNisa,Laws and Regulations for Smooth Family Life - Women's Status - Marriage
005AlMaida.pdf,AlMaida,Rules of Battle Engagements - Jesus's Claim as a Prophet - Last Supper
006AlAnaam.pdf,AlAnaam,Rejection of Superstitious Beliefs about Cattles - Worshipping One God
007AlAaraf.pdf,AlAaraf,Details about Day of Judgment - Accountability
008AlAnfaal.pdf,AlAnfaal,Post Battle Rules - Wealth Distribution
009AtTauba.pdf,AtTauba,Repentance - Accountability and Warning to Hypocrisy
010Younus.pdf,Younus,Stories of Prophets - Prophet Jonah swallowed by Fish - His People Repented
011Houd.pdf,Houd,Stories of Prophets - Prophet Hood to Nation of Aid - They were Destroyed
012Yousef.pdf,Yousef,Prophet Yousef's Journey to Egypt as a slave boy then becoming Ruler
013ArRaad.pdf,ArRaad,Thunder as a Sign that everything glorifies its Creator
014Ibrahim.pdf,Ibrahim,Ibrahim as Father of the Monotheistic Religions - His Life and Journey
015AlHijr.pdf,AlHijr,Nation of Thamud - Mountains Dwellers -Seized by Awful Cry and Destroyed
016AnNahal.pdf,AnNahal,Honey Bee - A Sign of Creation and Honey as a Cure to many Diseases
017AlIsra.pdf,AlIsra,Prophet's Journey and showing of Marvels of Creation
018AlKahaf.pdf,AlKahaf,Story of Cave Sleepers and Moses's Quest of Knowledge with Khiser
019Maryam.pdf,Maryam,Mary's Piety and Miracle Birth of Jesus
020Taaha.pdf,Taaha,Moses's Selection as a Prophet and his encounters with Pharoah
021AlAnbia.pdf,AlAnbia,The Messengers and their Books of Guidance from God
022AlHajj.pdf,AlHajj,Journey and Rituals of Pilgrimage to Mecca
023AlMominoon.pdf,AlMominoon,Qualities of Believers in One God
024AnNoor.pdf,AnNoor,Light of God as Guidance to Mankind
025AlFurqan.pdf,AlFurqan,Quran as Criterion between Right and Wrong
026AshShuara.pdf,AshShuara,God's Advice to poets reaching beyond the Truth
027AnNamal.pdf,AnNamal,Ants - Tiny Creation and their wisdom
028AlQasas.pdf,AlQasas,Many Stories to seek the Guidance
029AlAnkaboot.pdf,AlAnkaboot,Spider and its fragile web - A lesson to mankind
030ArRoom.pdf,ArRoom,Quranic forecast of fall of Roman Empire in the coming years
031Luqman.pdf,Luqman,Advice of a wise man to his son - Lesson for every father
032AsSajda.pdf,AsSajda,Guidance and Invitation to prostrate to Only One God
033AlAhzab.pdf,AlAhzab,Rules of battle engagement and modesty in family life
034Saba.pdf,Saba,People of Saba - Their arrogance and flooding by breaking of Dam
035Faatir.pdf,Faatir,Signs of Creation and reminder of returning to God
036Yaseen.pdf,Yaseen,Invitation to man to ponder on the Greatness of his Lord
037AsSaffat.pdf,AsSaffat,Managing the affairs of the Universe by the Creator
038Suad.pdf,Suad,Stories of the Ancient people and their reformers
039AzZumur.pdf,AzZumur,Reward and punishment to mankind in the Hereafter
040AlMomin.pdf,AlMomin,Qualities of a believer to defend the Truth
041HamimSajda.pdf,HamimSajda,A message of guidance
042AshShura.pdf,AshShura,Advice to make decisions by mutual consultation
043AzZukhruf.pdf,AzZukhruf,Signs of the end of the World and Destination as Paradise or Hell
044AdDukhan.pdf,AdDukhan,Signs of End of Time - Sky turns to smoke
045AlJasia.pdf,AlJasia,Hereafter Accountability - Criminals on their knees
046AlAhqaf.pdf,AlAhqaf,Nations of History - People of AlAhqaf disobeyed and were destroyed
047Muhammad.pdf,Muhammad,Prophet of Islam - Muhammad and his struggle to convey message of God
048AlFath.pdf,AlFath,God's promise of victory after disbelievers stopped prophet to visit Kaaba
049AlHujrat.pdf,AlHujrat,Instructions and Etiquettes of community living
050Qaaf.pdf,Qaaf,God's message of reward to believers and punishment for disbelievers
051AzZariat.pdf,AzZariat,Preparing man to live a life of obedience in this world and his status in Hereafter
052AtToor.pdf,AtToor,Story of Moses and his people after exodus from Egypt
053AnNajam.pdf,AnNajam,Stars and their significance as a display of power of Creation
054AlQamar.pdf,AlQamar,Significance of moon to define the calendar
055ArRahman.pdf,ArRahman,Reminding toman about how many blessings of God he will deny
056AlWaqiah.pdf,AlWaqiah,Promise in Hereafter how people will be divided based on their wordily deeds
057AlHadid.pdf,AlHadid,Iron among bounties of God to man as a tool to defend
058AlMujadilah.pdf,AlMujadilah,Story of a woman about dispute with her husband and prophetic guidance
059AlHashr.pdf,AlHashr,How a battle against forces of disbelievers was won with God's help
060AlMumtahina.pdf,AlMumtahina,Test and trial of the sincerity of those women who accepted faith and migrated
061AsSaff.pdf,AsSaff,Advice to believers to be as a solid wall when defending dispute tithe enemies
062AlJuma.pdf,AlJuma,Significance of Friday Prayer
063AlMunafiqoon.pdf,AlMunafiqoon,Dealing with hypocrites -
064AtTaghabun.pdf,AtTaghabun,Day of Judgment is a day of winning or loosing
065AtTalaq.pdf,AtTalaq,Rules of Divorce as last resort and rebuilding families
066AtTahrim.pdf,AtTahrim,Prophet's intention of avoiding some food to please his wives
067AlMulk.pdf,AlMulk,God kingdom and authority and His mercy upon mankind
068AlQalam.pdf,AlQalam,Significance op Pen towards attaining knowledge by man
069AlHaqqa.pdf,AlHaqqa,Fate of previous generations who denied their messengers and God's message
